,Song,Artist
0,Rich Men North of Richmond,Oliver Anthony Music
1,Margaritaville,Jimmy Buffett
2,Come Monday,Jimmy Buffett
3,I Remember Everything (feat. Kacey Musgraves),Zach Bryan
4,Paint The Town Red,Doja Cat
5,Lil Boo Thang,Paul Russell
6,Dream Weaver,Gary Wright
7,Fast Car,Luke Combs
8,Angry,The Rolling Stones
9,Used To Be Young,Miley Cyrus
10,Cheeseburger In Paradise,Jimmy Buffett
11,Last Night,Morgan Wallen
12,Cruel Summer,Taylor Swift
13,"Changes In Latitudes, Changes In Attitudes",Jimmy Buffett
14,A Pirate Looks at Forty,Jimmy Buffett
15,Last Time I Saw You,Nicki Minaj
16,All Star,Smash Mouth
17,White Horse,Chris Stapleton
18,Love Is Alive,Gary Wright
19,Need A Favor,Jelly Roll
20,Dance The Night,Dua Lipa
21,Pressure,Zhang Zhe Han
22,Try That In A Small Town,Jason Aldean
23,I Want to go Home,Oliver Anthony Music
24,Lose Control,Teddy Swims
25,Watermelon Moonshine,Lainey Wilson
26,Rockstar,Nickelback
27,90 some Chevy,Oliver Anthony Music
28,Thinkin’ Bout Me,Morgan Wallen
29,Save Me (with Lainey Wilson),Jelly Roll
30,Flowers,Miley Cyrus
31,It's Five O'Clock Somewhere (Live),Jimmy Buffett
32,Son of a Son of a Sailor,Jimmy Buffett
33,Dreams,Fleetwood Mac
34,Calm Down,Rema & Selena Gomez
35,Religiously,Bailey Zimmerman
36,vampire,Olivia Rodrigo
37,Used To Be Young,Miley Cyrus
38,I Know a Girl Who Sees Me As Poorer,Vy Napi
39,Aint Gotta Dollar,Oliver Anthony Music
40,Love You Anyway,Luke Combs
41,Indiana Jones,Wayland
42,Far Away,Nickelback
43,How You Remind Me,Nickelback
44,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
45,Photograph,Nickelback
46,Beat You There,Will Dempsey
47,Fins,Jimmy Buffett
48,In Your Love,Tyler Childers
49,Enter Sandman,Metallica
50,Southern Cross,"Crosby, Stills & Nash"
51,Forever Young,Rod Stewart
52,Driving Back There in My Mind,Miranda Lambert
53,Something in the Orange (Z&E's Version),Zach Bryan
54,Single Soon,Selena Gomez
55,I'm a Believer,Smash Mouth
56,I'll Stand By You,Pretenders
57,Have You Ever Seen the Rain,Creedence Clearwater Revival
58,So Don't Say You Love Someone a Word,Vy Napi
59,Son Of A Sinner,Jelly Roll
60,Rhiannon,Fleetwood Mac
61,Daylight,David Kushner
62,Everything I Love,Morgan Wallen
63,Latinos For Trump,Trump Latinos
64,Walkin' On the Sun,Smash Mouth
65,Hey Driver (feat. The War and Treaty),Zach Bryan
66,It's Five O'Clock Somewhere (with Jimmy Buffett),Alan Jackson
67,Gypsy,Fleetwood Mac
68,TRUCK BED,HARDY
69,Pretty Little Poison,Warren Zeiders
70,We Don't Fight Anymore (feat. Chris Stapleton),Carly Pearce
71,All Star,Smash Mouth
72,Hard to Say I'm Sorry / Get Away,Chicago
73,Keep Going Up,"Timbaland, Nelly Furtado & Justin Timberlake"
74,bad idea right?,Olivia Rodrigo
75,Dial Drunk,Noah Kahan & Post Malone
76,I Love My Body,HWASA
77,Tennessee Whiskey,Chris Stapleton
78,Snooze,SZA
79,Walkin' On the Sun,Smash Mouth
80,Southern Cross (Live),Jimmy Buffett
81,Bury Me in Georgia (Single Edit),Kane Brown
82,Anti-Hero,Taylor Swift
83,Why Don't We Get Drunk,Jimmy Buffett
84,Volcano,Jimmy Buffett
85,Whiteboyz,Tom MacDonald & Adam Calhoun
86,Bring Me to Life,Evanescence
87,Spirit In the Sky,Norman Greenbaum
88,90 Some Chevy (Live),Oliver Anthony Music
89,Barbie World (with Aqua),Nicki Minaj & Ice Spice
90,"The Wind This Afternoon, Unintentionally Brings Sadness To More Dull Memories.",Vy Napi
91,Ive Got to Get Sober,Oliver Anthony Music
92,"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",Elevation Worship
93,Trip Around the Sun,Jimmy Buffett & Martina McBride
94,Good Good,"USHER, Summer Walker & 21 Savage"
95,Everywhere,Fleetwood Mac
96,You're the Inspiration,Chicago
