,Song,Artist
0,Margaritaville,Jimmy Buffett
1,Come Monday,Jimmy Buffett
2,Rich Men North of Richmond,Oliver Anthony Music
3,All Star,Smash Mouth
4,Cheeseburger In Paradise,Jimmy Buffett
5,"Changes In Latitudes, Changes In Attitudes",Jimmy Buffett
6,I Remember Everything (feat. Kacey Musgraves),Zach Bryan
7,Paint The Town Red,Doja Cat
8,A Pirate Looks at Forty,Jimmy Buffett
9,It's Five O'Clock Somewhere (Live),Jimmy Buffett
10,Dream Weaver,Gary Wright
11,Fast Car,Luke Combs
12,Lil Boo Thang,Paul Russell
13,Last Time I Saw You,Nicki Minaj
14,Son of a Son of a Sailor,Jimmy Buffett
15,Used To Be Young,Miley Cyrus
16,Cruel Summer,Taylor Swift
17,Walkin' On the Sun,Smash Mouth
18,Last Night,Morgan Wallen
19,Need A Favor,Jelly Roll
20,I Want to go Home,Oliver Anthony Music
21,I'm a Believer,Smash Mouth
22,Try That In A Small Town,Jason Aldean
23,Fins,Jimmy Buffett
24,Dance The Night,Dua Lipa
25,White Horse,Chris Stapleton
26,Walkin' on the Sun,Smash Mouth
27,Love Is Alive,Gary Wright
28,Watermelon Moonshine,Lainey Wilson
29,90 some Chevy,Oliver Anthony Music
30,Thinkin’ Bout Me,Morgan Wallen
31,Southern Cross (Live),Jimmy Buffett
32,Save Me (with Lainey Wilson),Jelly Roll
33,It's Five O'Clock Somewhere (with Jimmy Buffett),Alan Jackson
34,Aint Gotta Dollar,Oliver Anthony Music
35,Rockstar,Nickelback
36,Flowers,Miley Cyrus
37,Why Don't We Get Drunk,Jimmy Buffett
38,Religiously,Bailey Zimmerman
39,Brown Eyed Girl (Live),Jimmy Buffett
40,Volcano,Jimmy Buffett
41,Dreams,Fleetwood Mac
42,vampire,Olivia Rodrigo
43,Indiana Jones,Wayland
44,Calm Down,Rema & Selena Gomez
45,Lose Control,Teddy Swims
46,Keep Going Up,"Timbaland, Nelly Furtado & Justin Timberlake"
47,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
48,Let My Heart Stop Missing Now,Radiant Melodies
49,Latinos For Trump,Trump Latinos
50,Trip Around the Sun,Jimmy Buffett & Martina McBride
51,Southern Cross,"Crosby, Stills & Nash"
52,A Symptom Of Being Human,Shinedown
53,Have You Ever Seen the Rain,Creedence Clearwater Revival
54,Beat You There,Will Dempsey
55,How You Remind Me,Nickelback
56,I'm a Believer (Radio),Smash Mouth
57,Forever Young,Rod Stewart
58,Son Of A Sinner,Jelly Roll
59,He Went to Paris,Jimmy Buffett
60,Love You Anyway,Luke Combs
61,Far Away,Nickelback
62,Single Soon,Selena Gomez
63,Whiteboyz,Tom MacDonald & Adam Calhoun
64,Knee Deep (feat. Jimmy Buffett) [Greatest Hits Version],Zac Brown Band
65,Photograph,Nickelback
66,TRUCK BED,HARDY
67,Brown Eyed Girl,Jimmy Buffett
68,"Suddenly, One Day, There Is a Pink Love That Brings Good News",Vy Napi
69,In Your Love,Tyler Childers
70,One Particular Harbour,Jimmy Buffett
71,Ive Got to Get Sober,Oliver Anthony Music
72,Bury Me in Georgia (Single Edit),Kane Brown
73,The One Who Brought the Dreams Away,Radiant Melodies
74,Anti-Hero,Taylor Swift
75,Enter Sandman,Metallica
76,Something in the Orange (Z&E's Version),Zach Bryan
77,We Didn’t Start The Fire,Fall Out Boy
78,Hard to Say I'm Sorry / Get Away,Chicago
79,I Want To Go Home (live),Oliver Anthony Music
80,I'll Stand By You,Pretenders
81,Tennessee Whiskey,Chris Stapleton
82,Vertigo,Griff
83,Gypsy,Fleetwood Mac
84,Daylight,David Kushner
85,Rhiannon,Fleetwood Mac
86,Everything I Love,Morgan Wallen
87,Barbie World (with Aqua),Nicki Minaj & Ice Spice
88,Can't Get Enough of You Baby,Smash Mouth
89,You're the Inspiration,Chicago
90,Bring Me to Life,Evanescence
91,Thought You Should Know,Morgan Wallen
92,Dial Drunk,Noah Kahan & Post Malone
93,bad idea right?,Olivia Rodrigo
94,august,Taylor Swift
95,Unstoppable,Sia
96,Hangin' Tough,New Kids on the Block
97,Tears on My Pillow,Kylie Minogue
98,Nothing Compares 2 U,Sinéad O'Connor
99,Dub Be Good to Me,Beats International
100,The Power,Snap!
101,Vogue,Madonna
102,Killer,Adamski
103,World in Motion,Englandneworder
104,Sacrifice / Healing Hands,Elton John
105,Turtle Power,Partners in Kryme
106,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Bombalurina
107,The Joker [nb 3],Steve Miller Band
108,Show Me Heaven,Maria McKee
109,A Little Time,The Beautiful South
110,Unchained Melody †,The Righteous Brothers
111,Ice Ice Baby,Vanilla Ice
112,Saviour's Day,Cliff Richard
113,Bring Your Daughter... to the Slaughter,Iron Maiden
114,Sadness (Part I),Enigma
115,Innuendo,Queen
116,3 a.m. Eternal,The KLF
117,Do the Bartman,The Simpsons
118,Should I Stay or Should I Go,The Clash
119,The Stonk,Hale and Pace and the Stonkers
120,The One and Only,Chesney Hawkes
121,The Shoop Shoop Song (It's in His Kiss),Cher
122,I Wanna Sex You Up,Color Me Badd
123,Any Dream Will Do,Jason Donovan
124,(Everything I Do) I Do It for You †,Bryan Adams
125,The Fly,U2
126,Dizzy,Vic Reeves and The Wonder Stuff
127,Black or White,Michael Jackson
128,Don't Let the Sun Go Down on Me,George Michael and Elton John
129,Bohemian Rhapsody / These Are the Days of Our Lives,Queen
130,Goodnight Girl,Wet Wet Wet
131,Stay,Shakespears Sister
132,Deeply Dippy,Right Said Fred
133,Please Don't Go,KWS
134,Abba-esque (EP),Erasure
135,Ain't No Doubt,Jimmy Nail
136,Rhythm Is a Dancer,Snap!
137,Ebeneezer Goode,The Shamen
138,Sleeping Satellite,Tasmin Archer
139,End of the Road,Boyz II Men
140,Would I Lie to You?,Charles & Eddie
141,I Will Always Love You †,Whitney Houston
142,No Limit,2 Unlimited
143,Oh Carolina,Shaggy
144,Young at Heart,The Bluebells
145,Five Live (EP),George Michael and Queen with Lisa Stansfield
146,All That She Wants,Ace of Base
147,(I Can't Help) Falling in Love With You,UB40
148,Dreams,Gabrielle
149,Pray,Take That
150,Living on My Own,Freddie Mercury
151,Mr. Vain,Culture Beat
152,Boom! Shake the Room,DJ Jazzy Jeff & the Fresh Prince
153,Relight My Fire,Take That featuring Lulu
154,I'd Do Anything for Love (But I Won't Do That) †,Meat Loaf
155,Mr Blobby,Mr Blobby
156,Babe,Take That
157,Twist and Shout,Chaka Demus & Pliers featuring Jack Radics and Taxi Gang
158,Things Can Only Get Better,D:Ream
159,Without You,Mariah Carey
160,Doop,Doop
161,Everything Changes,Take That
162,The Most Beautiful Girl in the World,Prince
163,The Real Thing,Tony Di Bart
164,Inside,Stiltskin
165,Come On You Reds,Manchester United F.C.
166,Love Is All Around †,Wet Wet Wet
167,Saturday Night,Whigfield
168,Sure,Take That
169,Baby Come Back,Pato Banton featuring Ali and Robin Campbell
170,Let Me Be Your Fantasy,Baby D
171,Stay Another Day,East 17
172,Cotton Eye Joe,Rednex
173,Think Twice,Celine Dion
174,Love Can Build a Bridge,"Cher, Chrissie Hynde and Neneh Cherry with Eric Clapton"
175,Don't Stop (Wiggle Wiggle),The Outhere Brothers
176,Back for Good,Take That
177,Some Might Say,Oasis
178,Dreamer,Livin' Joy
179,Unchained Melody / White Cliffs of Dover †,Robson & Jerome
180,Boom Boom Boom,The Outhere Brothers
181,Never Forget,Take That
182,Country House,Blur
183,You Are Not Alone,Michael Jackson
184,Boombastic,Shaggy
185,Fairground,Simply Red
186,Gangsta's Paradise,Coolio featuring L.V.
187,I Believe / Up on the Roof,Robson & Jerome
188,Earth Song,Michael Jackson
189,Jesus to a Child,George Michael
190,Spaceman,Babylon Zoo
191,Don't Look Back in Anger,Oasis
192,How Deep Is Your Love,Take That
193,Firestarter,The Prodigy
194,Return of the Mack,Mark Morrison
195,Fastlove,George Michael
196,Ooh Aah... Just a Little Bit,Gina G
197,Three Lions,"Baddiel, Skinner and The Lightning Seeds"
198,Killing Me Softly †,Fugees
199,Forever Love,Gary Barlow
200,Wannabe,Spice Girls
201,Flava,Peter Andre
202,Ready or Not,Fugees
203,Breakfast at Tiffany's,Deep Blue Something
204,Setting Sun,The Chemical Brothers
205,Words,Boyzone
206,Say You'll Be There,Spice Girls
207,What Becomes of the Brokenhearted / Saturday Night at the Movies / You'll Never Walk Alone,Robson & Jerome
208,Breathe,The Prodigy
209,I Feel You,Peter Andre
210,A Different Beat,Boyzone
211,Knockin' on Heaven's Door,Dunblane
212,2 Become 1,Spice Girls
213,Professional Widow (It's Got to Be Big),Tori Amos
214,Your Woman,White Town
215,Beetlebum,Blur
216,Ain't Nobody,LL Cool J
217,Discotheque,U2
218,Don't Speak,No Doubt
219,Mama / Who Do You Think You Are,Spice Girls
220,Block Rockin' Beats,The Chemical Brothers
221,I Believe I Can Fly,R. Kelly
222,Blood on the Dance Floor,Michael Jackson
223,Love Won't Wait,Gary Barlow
224,You're Not Alone,Olive
225,I Wanna Be the Only One,Eternal featuring BeBe Winans
226,MMMBop,Hanson
227,I'll Be Missing You,Puff Daddy and Faith Evans featuring 112
228,D'You Know What I Mean?,Oasis
229,Men in Black,Will Smith
230,The Drugs Don't Work,The Verve
231,Candle in the Wind 1997 / Something About the Way You Look Tonight ‡,Elton John
232,Spice Up Your Life,Spice Girls
233,Barbie Girl,Aqua
234,Perfect Day,Various artists
235,Teletubbies say Eh-oh!,Teletubbies
236,Too Much,Spice Girls
237,Never Ever,All Saints
238,All Around the World,Oasis
239,You Make Me Wanna...,Usher
240,Doctor Jones,Aqua
241,My Heart Will Go On,Celine Dion
242,Brimful of Asha,Cornershop
243,Frozen,Madonna
244,It's Like That,Run-DMC vs. Jason Nevins
245,All That I Need,Boyzone
246,Under the Bridge / Lady Marmalade,All Saints
247,Turn Back Time,Aqua
248,Feel It,The Tamperer featuring Maya
249,C'est la Vie,B*Witched
250,3 Lions '98,"Baddiel, Skinner and The Lightning Seeds"
251,Because We Want To,Billie
252,Freak Me,Another Level
253,Deeper Underground,Jamiroquai
254,Viva Forever,Spice Girls
255,No Matter What,Boyzone
256,If You Tolerate This Your Children Will Be Next,Manic Street Preachers
257,Bootie Call,All Saints
258,Millennium,Robbie Williams
